name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
하신번영로,25,1100,1,1,0,4,1,0,,,,,,,,,
을숙도대로,10,758,1,1,0,2,1,0,,,,,,,,,
다대로,31,930,1,1,1,7,1,0,,,,,,,,,
다대로1066번길,24,215,1,1,0,4,1,0,,,,,,,,,
다산로,21,2400,1,1,0,4,1,0,,,,,,,,,
홍티로,23,220,1,1,0,4,1,0,,,,,,,,,
다대로,26,1300,1,1,0,6,1,0,,,,,,,,,
다대낙조1길,18,155,1,1,0,4,1,0,,,,,,,,,
