name,width,length,boundary,center,separator,lane,stopline,facility,,,,,,,,,
낙동대로,34,700,1,1,1,7,1,0,,,,,,,,,
사하로,26,1300,1,1,0,6,1,0,,,,,,,,,
을숙도대로,35,500,1,1,1,7,1,1,,,,,,,,,
서포로,26,700,1,1,0,4,1,0,,,,,,,,,
감천항로,30,4000,1,1,0,6,1,0,,,,,,,,,
